               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11988,            0.032081,                   0,                   0,                   0,                   0,                   0,             0.12534,            0.027918,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12501,            0.032044,                   0,                   0,                   0,                   0,                   0,             0.12349,            0.027372,                   0,            0.097294,          0.00029406,          0.00029406
                   2,             0.10757,            0.030204,                   0,                   0,                   0,                   0,                   0,              0.1201,            0.026728,                   0,             0.09548,           0.0004802,           0.0004802
                   3,             0.11175,            0.031074,                   0,                   0,                   0,                   0,                   0,             0.11575,            0.026009,                   0,            0.093658,          0.00065842,          0.00065842
                   4,             0.11286,            0.034038,                   0,                   0,                   0,                   0,                   0,             0.11061,             0.02536,                   0,            0.091829,          0.00082872,          0.00082872
                   5,            0.074113,            0.026818,                   0,           0.0011111,            0.055556,          0.00099538,          9.9538e-05,             0.10573,            0.024794,                   0,            0.089991,           0.0009911,           0.0009911
                   6,             0.11598,            0.027273,                   0,                   0,                   0,                   0,                   0,             0.10222,            0.023927,                   0,            0.088146,           0.0011456,           0.0011456
                   7,             0.10866,            0.029061,                   0,                   0,                   0,                   0,                   0,            0.099529,            0.023173,                   0,            0.086292,           0.0012921,           0.0012921
                   8,             0.09285,            0.025057,                   0,                   0,                   0,                   0,                   0,             0.09812,            0.022706,                   0,            0.084431,           0.0014307,           0.0014307
                   9,            0.054636,            0.022393,                   0,                   0,                   0,                   0,                   0,            0.097214,            0.022237,                   0,            0.082561,           0.0015614,           0.0015614
                  10,            0.094195,            0.030831,                   0,           0.0016667,             0.11111,           0.0012885,          0.00031034,            0.096363,            0.021615,                   0,            0.080684,           0.0016842,           0.0016842
                  11,             0.10478,            0.026663,                   0,           0.0016667,             0.11111,           0.0017656,          0.00046499,            0.095241,            0.021006,                   0,            0.078799,           0.0017991,           0.0017991
                  12,            0.099764,            0.028296,                   0,           0.0016667,             0.11111,           0.0020411,          0.00085225,            0.093213,            0.020443,                   0,            0.076906,            0.001906,            0.001906
                  13,             0.10018,            0.029445,                   0,           0.0016667,             0.11111,           0.0023889,          0.00074884,            0.090941,            0.019968,                   0,            0.075005,            0.002005,            0.002005
                  14,             0.10001,             0.02259,                   0,           0.0016667,             0.11111,           0.0016336,          0.00064895,            0.088819,            0.019471,                   0,            0.073096,           0.0020961,           0.0020961
                  15,            0.095642,            0.024527,                   0,           0.0013333,             0.11111,           0.0013326,          0.00043822,            0.087006,            0.018986,                   0,            0.071179,           0.0021793,           0.0021793
                  16,             0.10893,            0.023346,                   0,           0.0013333,             0.11111,           0.0013765,          0.00043279,            0.084461,            0.018574,                   0,            0.069255,           0.0022546,           0.0022546
                  17,            0.055277,            0.021656,                   0,           0.0016667,             0.16667,           0.0018072,          0.00056292,            0.084075,            0.018027,                   0,            0.067322,           0.0023219,           0.0023219
                  18,            0.089205,            0.022984,                   0,           0.0022222,             0.22222,           0.0065183,           0.0008646,            0.084187,            0.017546,                   0,            0.065381,           0.0023813,           0.0023813
